DATE,DEXUSEU
1/23/2017,1.074
1/24/2017,1.0749
1/25/2017,1.0743
1/26/2017,1.067
1/27/2017,1.069
1/30/2017,1.0681
1/31/2017,1.0794
2/1/2017,1.0758
2/2/2017,1.0802
2/3/2017,1.0792
2/6/2017,1.0731
2/7/2017,1.069
2/8/2017,1.0708
2/9/2017,1.0658
2/10/2017,1.065
2/13/2017,1.0603
2/14/2017,1.0577
2/15/2017,1.0597
2/16/2017,1.066
2/17/2017,1.0614
2/20/2017,.
2/21/2017,1.0551
2/22/2017,1.0555
2/23/2017,1.0586
2/24/2017,1.058
2/27/2017,1.0624
2/28/2017,1.0618
3/1/2017,1.0564
3/2/2017,1.0514
3/3/2017,1.0552
3/6/2017,1.0586
3/7/2017,1.0582
3/8/2017,1.0547
3/9/2017,1.0586
3/10/2017,1.0667
3/13/2017,1.067
3/14/2017,1.0645
3/15/2017,1.063
3/16/2017,1.0738
3/17/2017,1.0742
3/20/2017,1.0754
3/21/2017,1.081
3/22/2017,1.08
3/23/2017,1.0787
3/24/2017,1.0806
3/27/2017,1.0882
3/28/2017,1.0852
3/29/2017,1.0756
3/30/2017,1.0726
3/31/2017,1.0698
4/3/2017,1.0655
4/4/2017,1.0664
4/5/2017,1.0661
4/6/2017,1.0651
4/7/2017,1.0616
4/10/2017,1.0606
4/11/2017,1.0614
4/12/2017,1.0611
4/13/2017,1.063
4/14/2017,1.0625
4/17/2017,1.066
4/18/2017,1.0706
4/19/2017,1.0707
4/20/2017,1.0758
4/21/2017,1.0694
4/24/2017,1.0846
4/25/2017,1.0941
4/26/2017,1.0872
4/27/2017,1.0864
4/28/2017,1.0895
5/1/2017,1.0912
5/2/2017,1.091
5/3/2017,1.092
5/4/2017,1.0967
5/5/2017,1.0996
5/8/2017,1.0928
5/9/2017,1.0875
5/10/2017,1.0873
5/11/2017,1.0869
5/12/2017,1.0926
5/15/2017,1.0979
5/16/2017,1.1072
5/17/2017,1.1134
5/18/2017,1.113
5/19/2017,1.119
5/22/2017,1.1236
5/23/2017,1.1198
5/24/2017,1.1175
5/25/2017,1.1218
5/26/2017,1.117
5/29/2017,.
5/30/2017,1.1183
5/31/2017,1.1236
6/1/2017,1.1214
6/2/2017,1.127
6/5/2017,1.125
6/6/2017,1.1266
6/7/2017,1.1236
6/8/2017,1.1217
6/9/2017,1.119
6/12/2017,1.1204
6/13/2017,1.1194
6/14/2017,1.1277
6/15/2017,1.1152
6/16/2017,1.1194
6/19/2017,1.116
6/20/2017,1.1124
6/21/2017,1.1143
6/22/2017,1.1148
6/23/2017,1.1196
6/26/2017,1.1196
6/27/2017,1.13
6/28/2017,1.1364
6/29/2017,1.142
6/30/2017,1.1411
7/3/2017,1.1367
7/4/2017,.
7/5/2017,1.1336
7/6/2017,1.1409
7/7/2017,1.1396
7/10/2017,1.1396
7/11/2017,1.143
7/12/2017,1.1411
7/13/2017,1.1385
7/14/2017,1.1452
7/17/2017,1.147
7/18/2017,1.1578
7/19/2017,1.1518
7/20/2017,1.1634
7/21/2017,1.1655
7/24/2017,1.1642
7/25/2017,1.1656
7/26/2017,1.1632
7/27/2017,1.1656
7/28/2017,1.1754
7/31/2017,1.1826
8/1/2017,1.1799
8/2/2017,1.1861
8/3/2017,1.188
8/4/2017,1.1754
8/7/2017,1.1788
8/8/2017,1.1724
8/9/2017,1.1748
8/10/2017,1.1751
8/11/2017,1.1811
8/14/2017,1.1786
8/15/2017,1.1736
8/16/2017,1.1703
8/17/2017,1.1736
8/18/2017,1.1748
8/21/2017,1.1814
8/22/2017,1.1762
8/23/2017,1.1802
8/24/2017,1.1801
8/25/2017,1.1874
8/28/2017,1.1973
